name;year
Christopher Zheng;2020
Xinhao Jiang;2020
Hanwen Hu;2020
Cheng Luo;2020
Yilin Li;2020
Nengjun Qiu;2020
Feifei Li 0001;2020
Changcheng Chen;2020
Dan Pei;2020
Xiaoye Miao;2021
Yangyang Wu;2021
Lu Chen 0001;2021
Yunjun Gao;2021
Jun Wang;2021
Jianwei Yin;2021
Wenfei Fan;2022
Wenzhi Fu;2022
Ruochun Jin;2022
Ping Lu;2022
Chao Tian 0001;2022
Zsolt István;2021
Soujanya Ponnapalli;2021
Vijay Chidambaram;2021
Manuel Leone;2022
Stefano Huber;2022
Akhil Arora 0001;2022
Alberto García-Durán;2022
Robert West 0001;2022
Alexandros Zeakis;2022
Dimitrios Skoutas 0001;2022
Dimitris Sacharidis;2022
Odysseas Papapetrou;2022
Manolis Koubarakis;2022
Wim Martens;2023
Matthias Niewerth;2023
Tina Popp;2023
Carlos Rojas;2023
Stijn Vansummeren;2023
Domagoj Vrgoc;2023
Naga Nithin Manne;2022
Shilvi Satpati;2022
Tanu Malik;2022
Amitabha Bagchi;2022
Ashish Gehani;2022
Amitabh Chaudhary;2022
Hai Lan;2022
Yuanjia Zhang;2022
Zhifeng Bao;2022
Yu Dong;2022
Dongxu Huang;2022
Liu Tang;2022
Jian Zhang;2022
Zeshun Peng;2022
Yanfeng Zhang;2022
Qian Xu;2022
Haixu Liu;2022
Yuxiao Gao;2022
Xiaohua Li;2022
Ge Yu 0001;2022
Bogyeong Kim;2022
Kyoseung Koo;2022
Undraa Enkhbat;2022
Sohyun Kim;2022
Juhun Kim;2022
Bongki Moon;2022
Liangde Li;2021
Supun Chathuranga Nakandala;2021
Arun Kumar 0001;2021
Frank McSherry;2020
Andrea Lattuada;2020
Malte Schwarzkopf;2020
Timothy Roscoe;2020
Doris Jung Lin Lee;2021
Dixin Tang;2021
Kunal Agarwal;2021
Thyne Boonmark;2021
Caitlyn Chen;2021
Jake Kang;2021
Ujjaini Mukhopadhyay;2021
Jerry Song;2021
Micah Yong;2021
Marti A. Hearst;2021
Aditya G. Parameswaran;2021
Chaohong Ma;2022
Xiaohui Yu 0001;2022
Yifan Li 0006;2022
Xiaofeng Meng 0001;2022
Aishan Maoliniyazi;2022
Jiping Zheng 0001;2022
Yuan Ma;2022
Wei Ma;2022
Yanhao Wang 0001;2022
Xiaoyang Wang 0002;2022
Xuanhe Zhou;2021
Guoliang Li 0001;2021
Chengliang Chai;2021
Jianhua Feng;2021
Mohammad Mahdavi;2020
Ziawasch Abedjan;2020
Fuheng Zhao;2023
Punnal Ismail Khan;2023
Divyakant Agrawal;2023
Amr El Abbadi;2023
Arpit Gupta;2023
Zaoxing Liu;2023
Jan Kossmann;2020
Stefan Halfpap;2020
Marcel Jankrift;2020
Rainer Schlosser;2020
Jonas Spenger;2023
Chengyang Huang;2023
Philipp Haller;2023
Paris Carbone;2023
Yuanyuan Sun;2021
Sheng Wang 0011;2021
Huorong Li;2021
Feifei Li 0001;2021
Nikolaos Tziavelis;2021
Wolfgang Gatterbauer;2021
Mirek Riedewald;2021
Tim Gubner;2021
Peter A. Boncz;2021
Sujaya Maiyya;2021
Faisal Nawab;2021
